w1,w2,w3,s1,s2,eq_check
5,5,1,unsigned,signed,True
5,5,1,signed,unsigned,True
5,5,1,unsigned,unsigned,True
6,5,1,signed,signed,True
6,5,1,unsigned,signed,True
6,5,1,signed,unsigned,True
6,5,1,unsigned,unsigned,True
7,5,1,signed,signed,True
7,5,1,unsigned,signed,True
7,5,1,signed,unsigned,True
7,5,1,unsigned,unsigned,True
8,5,1,signed,signed,True
8,5,1,unsigned,signed,True
8,5,1,signed,unsigned,True
8,5,1,unsigned,unsigned,True
1,5,2,signed,signed,True
1,5,2,unsigned,signed,True
1,5,2,signed,unsigned,True
1,5,2,unsigned,unsigned,True
2,5,2,signed,signed,True
2,5,2,unsigned,signed,True
2,5,2,signed,unsigned,True
2,5,2,unsigned,unsigned,True
3,5,2,signed,signed,True
3,5,2,unsigned,signed,True
3,5,2,signed,unsigned,True
3,5,2,unsigned,unsigned,True
4,5,2,signed,signed,True
4,5,2,unsigned,signed,True
4,5,2,signed,unsigned,True
4,5,2,unsigned,unsigned,True
5,5,2,signed,signed,True
5,5,2,unsigned,signed,True
5,5,2,signed,unsigned,True
5,5,2,unsigned,unsigned,True
6,5,2,signed,signed,True
6,5,2,unsigned,signed,True
6,5,2,signed,unsigned,True
6,5,2,unsigned,unsigned,True
7,5,2,signed,signed,True
7,5,2,unsigned,signed,True
7,5,2,signed,unsigned,True
7,5,2,unsigned,unsigned,True
8,5,2,signed,signed,True
8,5,2,unsigned,signed,True
8,5,2,signed,unsigned,True
8,5,2,unsigned,unsigned,True
1,5,3,signed,signed,False
1,5,3,unsigned,signed,False
1,5,3,signed,unsigned,False
1,5,3,unsigned,unsigned,True
2,5,3,signed,signed,False
2,5,3,unsigned,signed,False
2,5,3,signed,unsigned,True
2,5,3,unsigned,unsigned,True
3,5,3,signed,signed,False
3,5,3,unsigned,signed,False
3,5,3,signed,unsigned,True
3,5,3,unsigned,unsigned,True
4,5,3,signed,signed,False
4,5,3,unsigned,signed,False
4,5,3,signed,unsigned,True
4,5,3,unsigned,unsigned,True
5,5,3,signed,signed,False
5,5,3,unsigned,signed,False
5,5,3,signed,unsigned,True
5,5,3,unsigned,unsigned,True
6,5,3,signed,signed,False
6,5,3,unsigned,signed,False
6,5,3,signed,unsigned,True
6,5,3,unsigned,unsigned,True
7,5,3,signed,signed,False
7,5,3,unsigned,signed,False
7,5,3,signed,unsigned,True
7,5,3,unsigned,unsigned,True
8,5,3,signed,signed,False
8,5,3,unsigned,signed,False
8,5,3,signed,unsigned,True
8,5,3,unsigned,unsigned,True
1,5,4,signed,signed,False
1,5,4,unsigned,signed,False
1,5,4,signed,unsigned,False
1,5,4,unsigned,unsigned,True
2,5,4,signed,signed,False
2,5,4,unsigned,signed,False
2,5,4,signed,unsigned,False
2,5,4,unsigned,unsigned,True
3,5,4,signed,signed,False
